Nr	Name	No_of_Customers	No_of_Items	Time_Windows
481	0481_BED-Amazon_n105_m257_bt34	105	257	0
482	0482_BED-Amazon_n117_m250_bt29	117	250	0
483	0483_BED-Amazon_n107_m209_bt34	107	209	0
484	0484_BED-Amazon_n84_m185_bt25	84	185	0
485	0485_BED-Amazon_n185_m286_bt32	185	286	0
486	0486_BED-Amazon_n136_m228_bt31	136	228	0
487	0487_BED-Amazon_n113_m236_bt32	113	236	0
488	0488_BED-Amazon_n117_m203_bt30	117	203	0
489	0489_BED-Amazon_n160_m285_bt27	160	285	0
490	0490_BED-Amazon_n141_m236_bt30	141	236	0
491	0491_BED-Amazon_n195_m290_bt27	195	290	0
492	0492_BED-Amazon_n101_m262_bt33	101	262	0
493	0493_BED-Amazon_n152_m295_bt32	152	295	0
494	0494_BED-Amazon_n160_m247_bt33	160	247	0
495	0495_BED-Amazon_n142_m187_bt27	142	187	0
496	0496_BED-Amazon_n186_m286_bt32	186	286	0
497	0497_BED-Amazon_n147_m258_bt32	147	258	0
498	0498_BED-Amazon_n102_m203_bt33	102	203	0
499	0499_BED-Amazon_n104_m212_bt31	104	212	0
500	0500_BED-Amazon_n120_m188_bt35	120	188	0
501	0501_BED-Amazon_n179_m288_bt35	179	288	0
502	0502_BED-Amazon_n172_m256_bt30	172	256	0
503	0503_BED-Amazon_n66_m210_bt34	66	210	0
504	0504_BED-Amazon_n150_m202_bt35	150	202	0
505	0505_BED-Amazon_n152_m247_bt36	152	247	0
506	0506_BED-Amazon_n92_m235_bt36	92	235	0
507	0507_BED-Amazon_n106_m269_bt33	106	269	0
508	0508_BED-Amazon_n182_m264_bt28	182	264	0
509	0509_BED-Amazon_n120_m232_bt27	120	232	0
510	0510_BED-Amazon_n199_m296_bt34	199	296	0
511	0511_BED-Amazon_n147_m219_bt30	147	219	0
512	0512_BED-Amazon_n161_m296_bt39	161	296	0
513	0513_BED-Amazon_n188_m297_bt34	188	297	0
514	0514_BED-Amazon_n68_m152_bt26	68	152	0
515	0515_BED-Amazon_n172_m237_bt23	172	237	0
516	0516_BED-Amazon_n132_m233_bt40	132	233	0
517	0517_BED-Amazon_n159_m246_bt34	159	246	0
518	0518_BED-Amazon_n152_m234_bt28	152	234	0
519	0519_BED-Amazon_n107_m197_bt30	107	197	0
520	0520_BED-Amazon_n151_m226_bt26	151	226	0
521	0521_BED-Amazon_n196_m289_bt27	196	289	0
522	0522_BED-Amazon_n122_m193_bt35	122	193	0
523	0523_BED-Amazon_n189_m266_bt37	189	266	0
524	0524_BED-Amazon_n129_m203_bt26	129	203	0
525	0525_BED-Amazon_n188_m276_bt28	188	276	0
526	0526_BED-Amazon_n137_m292_bt34	137	292	0
527	0527_BED-Amazon_n156_m241_bt30	156	241	0
528	0528_BED-Amazon_n117_m247_bt45	117	247	0
529	0529_BED-Amazon_n194_m262_bt37	194	262	0
530	0530_BED-Amazon_n122_m212_bt27	122	212	0
531	0531_BED-Amazon_n77_m228_bt30	77	228	0
532	0532_BED-Amazon_n176_m260_bt31	176	260	0
533	0533_BED-Amazon_n82_m156_bt28	82	156	0
534	0534_BED-Amazon_n162_m232_bt27	162	232	0
535	0535_BED-Amazon_n44_m154_bt31	44	154	0
536	0536_BED-Amazon_n150_m229_bt30	150	229	0
537	0537_BED-Amazon_n151_m241_bt30	151	241	0
538	0538_BED-Amazon_n149_m244_bt30	149	244	0
539	0539_BED-Amazon_n82_m182_bt34	82	182	0
540	0540_BED-Amazon_n95_m210_bt31	95	210	0
541	0541_BED-Amazon_n161_m256_bt38	161	256	0
542	0542_BED-Amazon_n183_m288_bt26	183	288	0
543	0543_BED-Amazon_n125_m244_bt36	125	244	0
544	0544_BED-Amazon_n121_m253_bt44	121	253	0
545	0545_BED-Amazon_n132_m222_bt24	132	222	0
546	0546_BED-Amazon_n119_m271_bt31	119	271	0
547	0547_BED-Amazon_n110_m240_bt33	110	240	0
548	0548_BED-Amazon_n143_m222_bt33	143	222	0
549	0549_BED-Amazon_n182_m270_bt36	182	270	0
550	0550_BED-Amazon_n124_m251_bt33	124	251	0
551	0551_BED-Amazon_n102_m284_bt36	102	284	0
552	0552_BED-Amazon_n180_m259_bt39	180	259	0
553	0553_BED-Amazon_n154_m207_bt32	154	207	0
554	0554_BED-Amazon_n142_m223_bt27	142	223	0
555	0555_BED-Amazon_n101_m198_bt23	101	198	0
556	0556_BED-Amazon_n196_m293_bt40	196	293	0
557	0557_BED-Amazon_n121_m171_bt28	121	171	0
558	0558_BED-Amazon_n150_m228_bt28	150	228	0
559	0559_BED-Amazon_n64_m207_bt28	64	207	0
560	0560_BED-Amazon_n112_m238_bt36	112	238	0
561	0561_BED-Amazon_n187_m259_bt25	187	259	0
562	0562_BED-Amazon_n171_m242_bt36	171	242	0
563	0563_BED-Amazon_n141_m264_bt29	141	264	0
564	0564_BED-Amazon_n113_m238_bt48	113	238	0
565	0565_BED-Amazon_n178_m255_bt31	178	255	0
566	0566_BED-Amazon_n156_m246_bt30	156	246	0
567	0567_BED-Amazon_n72_m186_bt32	72	186	0
568	0568_BED-Amazon_n81_m220_bt43	81	220	0
569	0569_BED-Amazon_n134_m206_bt26	134	206	0
570	0570_BED-Amazon_n72_m177_bt27	72	177	0
571	0571_BED-Amazon_n129_m262_bt28	129	262	0
572	0572_BED-Amazon_n129_m234_bt34	129	234	0
573	0573_BED-Amazon_n164_m243_bt31	164	243	0
574	0574_BED-Amazon_n133_m176_bt20	133	176	0
575	0575_BED-Amazon_n180_m261_bt32	180	261	0
576	0576_BED-Amazon_n134_m233_bt35	134	233	0
577	0577_BED-Amazon_n128_m255_bt40	128	255	0
578	0578_BED-Amazon_n131_m221_bt34	131	221	0
579	0579_BED-Amazon_n167_m214_bt22	167	214	0
580	0580_BED-Amazon_n171_m236_bt30	171	236	0
581	0581_BED-Amazon_n165_m256_bt41	165	256	0
582	0582_BED-Amazon_n163_m233_bt30	163	233	0
583	0583_BED-Amazon_n107_m211_bt32	107	211	0
584	0584_BED-Amazon_n89_m204_bt35	89	204	0
585	0585_BED-Amazon_n147_m233_bt30	147	233	0
586	0586_BED-Amazon_n127_m231_bt32	127	231	0
587	0587_BED-Amazon_n147_m252_bt45	147	252	0
588	0588_BED-Amazon_n184_m272_bt33	184	272	0
589	0589_BED-Amazon_n132_m282_bt33	132	282	0
590	0590_BED-Amazon_n168_m245_bt39	168	245	0
591	0591_BED-Amazon_n103_m193_bt32	103	193	0
592	0592_BED-Amazon_n93_m218_bt40	93	218	0
593	0593_BED-Amazon_n141_m254_bt22	141	254	0
594	0594_BED-Amazon_n187_m295_bt44	187	295	0
595	0595_BED-Amazon_n135_m196_bt25	135	196	0
596	0596_BED-Amazon_n190_m271_bt33	190	271	0
597	0597_BED-Amazon_n173_m253_bt35	173	253	0
598	0598_BED-Amazon_n181_m250_bt27	181	250	0
599	0599_BED-Amazon_n127_m260_bt27	127	260	0
600	0600_BED-Amazon_n159_m263_bt27	159	263	0
601	0601_BED-Amazon_n195_m266_bt25	195	266	0
602	0602_BED-Amazon_n183_m266_bt32	183	266	0
603	0603_BED-Amazon_n139_m203_bt25	139	203	0
604	0604_BED-Amazon_n153_m236_bt27	153	236	0
605	0605_BED-Amazon_n133_m219_bt29	133	219	0
606	0606_BED-Amazon_n135_m215_bt26	135	215	0
607	0607_BED-Amazon_n95_m188_bt26	95	188	0
608	0608_BED-Amazon_n187_m264_bt34	187	264	0
609	0609_BED-Amazon_n154_m248_bt29	154	248	0
610	0610_BED-Amazon_n152_m264_bt26	152	264	0
611	0611_BED-Amazon_n121_m200_bt25	121	200	0
612	0612_BED-Amazon_n160_m279_bt30	160	279	0
613	0613_BED-Amazon_n199_m291_bt34	199	291	0
614	0614_BED-Amazon_n138_m268_bt33	138	268	0
615	0615_BED-Amazon_n168_m264_bt30	168	264	0
616	0616_BED-Amazon_n181_m276_bt33	181	276	0
617	0617_BED-Amazon_n166_m229_bt24	166	229	0
618	0618_BED-Amazon_n176_m236_bt35	176	236	0
619	0619_BED-Amazon_n108_m188_bt24	108	188	0
620	0620_BED-Amazon_n118_m193_bt27	118	193	0
621	0621_BED-Amazon_n149_m275_bt35	149	275	0
622	0622_BED-Amazon_n181_m221_bt35	181	221	0
623	0623_BED-Amazon_n153_m223_bt28	153	223	0
624	0624_BED-Amazon_n146_m244_bt29	146	244	0
625	0625_BED-Amazon_n192_m290_bt33	192	290	0
626	0626_BED-Amazon_n137_m220_bt25	137	220	0
627	0627_BED-Amazon_n153_m221_bt24	153	221	0
628	0628_BED-Amazon_n155_m282_bt27	155	282	0
629	0629_BED-Amazon_n113_m228_bt34	113	228	0
630	0630_BED-Amazon_n153_m215_bt26	153	215	0
631	0631_BED-Amazon_n183_m294_bt38	183	294	0
632	0632_BED-Amazon_n194_m284_bt34	194	284	0
633	0633_BED-Amazon_n157_m257_bt40	157	257	0
634	0634_BED-Amazon_n195_m269_bt37	195	269	0
635	0635_BED-Amazon_n162_m280_bt35	162	280	0
636	0636_BED-Amazon_n77_m202_bt32	77	202	0
637	0637_BED-Amazon_n138_m278_bt30	138	278	0
638	0638_BED-Amazon_n149_m230_bt27	149	230	0
639	0639_BED-Amazon_n116_m259_bt43	116	259	0
640	0640_BED-Amazon_n216_m299_bt37	216	299	0
641	0641_BED-Amazon_n162_m255_bt43	162	255	0
642	0642_BED-Amazon_n116_m240_bt27	116	240	0
643	0643_BED-Amazon_n123_m244_bt36	123	244	0
644	0644_BED-Amazon_n157_m249_bt39	157	249	0
645	0645_BED-Amazon_n152_m240_bt27	152	240	0
646	0646_BED-Amazon_n162_m246_bt32	162	246	0
647	0647_BED-Amazon_n156_m233_bt35	156	233	0
648	0648_BED-Amazon_n208_m266_bt28	208	266	0
649	0649_BED-Amazon_n125_m251_bt33	125	251	0
650	0650_BED-Amazon_n179_m255_bt36	179	255	0
651	0651_BED-Amazon_n153_m262_bt27	153	262	0
652	0652_BED-Amazon_n132_m247_bt35	132	247	0
653	0653_BED-Amazon_n46_m151_bt26	46	151	0
654	0654_BED-Amazon_n148_m271_bt33	148	271	0
655	0655_BED-Amazon_n182_m273_bt25	182	273	0
656	0656_BED-Amazon_n180_m275_bt34	180	275	0
657	0657_BED-Amazon_n109_m229_bt39	109	229	0
658	0658_BED-Amazon_n141_m297_bt38	141	297	0
659	0659_BED-Amazon_n142_m195_bt29	142	195	0
660	0660_BED-Amazon_n153_m253_bt39	153	253	0
661	0661_BED-Amazon_n146_m264_bt45	146	264	0
662	0662_BED-Amazon_n155_m217_bt29	155	217	0
663	0663_BED-Amazon_n124_m198_bt21	124	198	0
664	0664_BED-Amazon_n139_m253_bt30	139	253	0
665	0665_BED-Amazon_n161_m285_bt40	161	285	0
666	0666_BED-Amazon_n97_m209_bt38	97	209	0
667	0667_BED-Amazon_n147_m224_bt38	147	224	0
668	0668_BED-Amazon_n182_m239_bt24	182	239	0
669	0669_BED-Amazon_n160_m223_bt27	160	223	0
670	0670_BED-Amazon_n152_m192_bt26	152	192	0
671	0671_BED-Amazon_n101_m187_bt24	101	187	0
672	0672_BED-Amazon_n152_m253_bt33	152	253	0
673	0673_BED-Amazon_n150_m198_bt25	150	198	0
674	0674_BED-Amazon_n151_m245_bt30	151	245	0
675	0675_BED-Amazon_n165_m221_bt26	165	221	0
676	0676_BED-Amazon_n164_m250_bt31	164	250	0
677	0677_BED-Amazon_n122_m246_bt40	122	246	0
678	0678_BED-Amazon_n197_m259_bt37	197	259	0
679	0679_BED-Amazon_n179_m266_bt33	179	266	0
680	0680_BED-Amazon_n157_m230_bt26	157	230	0
681	0681_BED-Amazon_n183_m292_bt34	183	292	0
682	0682_BED-Amazon_n132_m252_bt32	132	252	0
683	0683_BED-Amazon_n139_m250_bt29	139	250	0
684	0684_BED-Amazon_n95_m202_bt36	95	202	0
685	0685_BED-Amazon_n207_m271_bt27	207	271	0
686	0686_BED-Amazon_n219_m275_bt31	219	275	0
687	0687_BED-Amazon_n73_m239_bt30	73	239	0
688	0688_BED-Amazon_n64_m161_bt28	64	161	0
689	0689_BED-Amazon_n147_m264_bt31	147	264	0
690	0690_BED-Amazon_n183_m266_bt34	183	266	0
691	0691_BED-Amazon_n192_m257_bt26	192	257	0
692	0692_BED-Amazon_n110_m256_bt30	110	256	0
693	0693_BED-Amazon_n203_m299_bt34	203	299	0
694	0694_BED-Amazon_n165_m269_bt33	165	269	0
695	0695_BED-Amazon_n167_m284_bt40	167	284	0
696	0696_BED-Amazon_n171_m261_bt40	171	261	0
697	0697_BED-Amazon_n175_m252_bt34	175	252	0
698	0698_BED-Amazon_n158_m251_bt31	158	251	0
699	0699_BED-Amazon_n177_m263_bt28	177	263	0
700	0700_BED-Amazon_n170_m252_bt37	170	252	0
701	0701_BED-Amazon_n114_m185_bt28	114	185	0
702	0702_BED-Amazon_n138_m260_bt33	138	260	0
703	0703_BED-Amazon_n127_m166_bt28	127	166	0
704	0704_BED-Amazon_n101_m222_bt26	101	222	0
705	0705_BED-Amazon_n181_m269_bt31	181	269	0
706	0706_BED-Amazon_n128_m213_bt43	128	213	0
707	0707_BED-Amazon_n152_m253_bt26	152	253	0
708	0708_BED-Amazon_n171_m260_bt29	171	260	0
709	0709_BED-Amazon_n81_m199_bt25	81	199	0
710	0710_BED-Amazon_n207_m276_bt29	207	276	0
711	0711_BED-Amazon_n108_m264_bt43	108	264	0
712	0712_BED-Amazon_n86_m234_bt29	86	234	0
713	0713_BED-Amazon_n126_m206_bt27	126	206	0
714	0714_BED-Amazon_n145_m253_bt31	145	253	0
715	0715_BED-Amazon_n141_m236_bt28	141	236	0
716	0716_BED-Amazon_n161_m244_bt30	161	244	0
717	0717_BED-Amazon_n160_m263_bt40	160	263	0
718	0718_BED-Amazon_n82_m185_bt34	82	185	0
719	0719_BED-Amazon_n137_m213_bt29	137	213	0
720	0720_BED-Amazon_n109_m177_bt24	109	177	0
721	0721_BED-Amazon_n73_m194_bt33	73	194	0
722	0722_BED-Amazon_n159_m215_bt41	159	215	0
723	0723_BED-Amazon_n149_m240_bt30	149	240	0
724	0724_BED-Amazon_n121_m236_bt38	121	236	0
725	0725_BED-Amazon_n153_m222_bt35	153	222	0
726	0726_BED-Amazon_n154_m230_bt28	154	230	0
727	0727_BED-Amazon_n100_m216_bt30	100	216	0
728	0728_BED-Amazon_n167_m274_bt34	167	274	0
729	0729_BED-Amazon_n191_m269_bt29	191	269	0
730	0730_BED-Amazon_n169_m246_bt28	169	246	0
731	0731_BED-Amazon_n139_m240_bt34	139	240	0
732	0732_BED-Amazon_n141_m183_bt33	141	183	0
733	0733_BED-Amazon_n173_m236_bt39	173	236	0
734	0734_BED-Amazon_n193_m256_bt30	193	256	0
735	0735_BED-Amazon_n179_m246_bt25	179	246	0
736	0736_BED-Amazon_n161_m255_bt38	161	255	0
737	0737_BED-Amazon_n121_m180_bt24	121	180	0
738	0738_BED-Amazon_n151_m274_bt36	151	274	0
739	0739_BED-Amazon_n105_m178_bt28	105	178	0
740	0740_BED-Amazon_n166_m275_bt35	166	275	0
741	0741_BED-Amazon_n126_m255_bt33	126	255	0
742	0742_BED-Amazon_n136_m216_bt22	136	216	0
743	0743_BED-Amazon_n152_m224_bt35	152	224	0
744	0744_BED-Amazon_n101_m212_bt30	101	212	0
745	0745_BED-Amazon_n185_m263_bt23	185	263	0
746	0746_BED-Amazon_n131_m228_bt29	131	228	0
747	0747_BED-Amazon_n196_m279_bt42	196	279	0
748	0748_BED-Amazon_n179_m272_bt32	179	272	0
749	0749_BED-Amazon_n166_m206_bt27	166	206	0
750	0750_BED-Amazon_n136_m257_bt34	136	257	0
751	0751_BED-Amazon_n165_m265_bt31	165	265	0
752	0752_BED-Amazon_n174_m259_bt34	174	259	0
753	0753_BED-Amazon_n164_m287_bt33	164	287	0
754	0754_BED-Amazon_n171_m295_bt31	171	295	0
755	0755_BED-Amazon_n85_m184_bt32	85	184	0
756	0756_BED-Amazon_n134_m209_bt26	134	209	0
757	0757_BED-Amazon_n115_m275_bt29	115	275	0
758	0758_BED-Amazon_n180_m245_bt35	180	245	0
759	0759_BED-Amazon_n58_m158_bt28	58	158	0
760	0760_BED-Amazon_n148_m218_bt26	148	218	0
761	0761_BED-Amazon_n120_m180_bt33	120	180	0
762	0762_BED-Amazon_n156_m288_bt39	156	288	0
763	0763_BED-Amazon_n110_m168_bt28	110	168	0
764	0764_BED-Amazon_n166_m273_bt35	166	273	0
765	0765_BED-Amazon_n96_m226_bt43	96	226	0
766	0766_BED-Amazon_n138_m258_bt32	138	258	0
767	0767_BED-Amazon_n129_m224_bt32	129	224	0
768	0768_BED-Amazon_n161_m299_bt30	161	299	0
769	0769_BED-Amazon_n114_m206_bt26	114	206	0
770	0770_BED-Amazon_n82_m271_bt34	82	271	0
771	0771_BED-Amazon_n117_m241_bt29	117	241	0
772	0772_BED-Amazon_n129_m264_bt29	129	264	0
773	0773_BED-Amazon_n162_m232_bt27	162	232	0
774	0774_BED-Amazon_n158_m244_bt28	158	244	0
775	0775_BED-Amazon_n181_m273_bt27	181	273	0
776	0776_BED-Amazon_n169_m283_bt36	169	283	0
777	0777_BED-Amazon_n147_m266_bt31	147	266	0
778	0778_BED-Amazon_n83_m246_bt31	83	246	0
779	0779_BED-Amazon_n189_m291_bt36	189	291	0
780	0780_BED-Amazon_n166_m278_bt43	166	278	0
781	0781_BED-Amazon_n179_m255_bt34	179	255	0
782	0782_BED-Amazon_n168_m233_bt29	168	233	0
783	0783_BED-Amazon_n149_m278_bt28	149	278	0
784	0784_BED-Amazon_n197_m264_bt28	197	264	0
785	0785_BED-Amazon_n178_m261_bt34	178	261	0
786	0786_BED-Amazon_n168_m245_bt33	168	245	0
787	0787_BED-Amazon_n143_m208_bt32	143	208	0
788	0788_BED-Amazon_n107_m277_bt36	107	277	0
789	0789_BED-Amazon_n149_m249_bt31	149	249	0
790	0790_BED-Amazon_n219_m269_bt29	219	269	0
791	0791_BED-Amazon_n120_m268_bt32	120	268	0
792	0792_BED-Amazon_n70_m246_bt32	70	246	0
793	0793_BED-Amazon_n149_m243_bt32	149	243	0
794	0794_BED-Amazon_n181_m263_bt32	181	263	0
795	0795_BED-Amazon_n104_m200_bt33	104	200	0
796	0796_BED-Amazon_n186_m273_bt24	186	273	0
797	0797_BED-Amazon_n115_m193_bt27	115	193	0
798	0798_BED-Amazon_n102_m227_bt32	102	227	0
799	0799_BED-Amazon_n174_m275_bt25	174	275	0
800	0800_BED-Amazon_n148_m223_bt25	148	223	0
801	0801_BED-Amazon_n168_m236_bt32	168	236	0
802	0802_BED-Amazon_n135_m263_bt31	135	263	0
803	0803_BED-Amazon_n154_m276_bt32	154	276	0
804	0804_BED-Amazon_n164_m260_bt28	164	260	0
805	0805_BED-Amazon_n79_m182_bt32	79	182	0
806	0806_BED-Amazon_n176_m250_bt39	176	250	0
807	0807_BED-Amazon_n117_m218_bt33	117	218	0
808	0808_BED-Amazon_n129_m213_bt26	129	213	0
809	0809_BED-Amazon_n95_m238_bt34	95	238	0
810	0810_BED-Amazon_n117_m216_bt24	117	216	0
811	0811_BED-Amazon_n164_m284_bt35	164	284	0
812	0812_BED-Amazon_n55_m178_bt23	55	178	0
813	0813_BED-Amazon_n152_m215_bt26	152	215	0
814	0814_BED-Amazon_n148_m223_bt30	148	223	0
815	0815_BED-Amazon_n161_m231_bt32	161	231	0
816	0816_BED-Amazon_n104_m177_bt25	104	177	0
817	0817_BED-Amazon_n103_m193_bt24	103	193	0
818	0818_BED-Amazon_n204_m294_bt30	204	294	0
819	0819_BED-Amazon_n160_m207_bt28	160	207	0
820	0820_BED-Amazon_n106_m210_bt35	106	210	0
821	0821_BED-Amazon_n136_m239_bt38	136	239	0
822	0822_BED-Amazon_n194_m296_bt30	194	296	0
823	0823_BED-Amazon_n186_m248_bt33	186	248	0
824	0824_BED-Amazon_n83_m211_bt25	83	211	0
825	0825_BED-Amazon_n162_m232_bt36	162	232	0
826	0826_BED-Amazon_n183_m267_bt34	183	267	0
827	0827_BED-Amazon_n125_m237_bt30	125	237	0
828	0828_BED-Amazon_n163_m259_bt30	163	259	0
829	0829_BED-Amazon_n98_m217_bt25	98	217	0
830	0830_BED-Amazon_n196_m269_bt34	196	269	0
831	0831_BED-Amazon_n125_m212_bt33	125	212	0
832	0832_BED-Amazon_n184_m286_bt29	184	286	0
833	0833_BED-Amazon_n128_m232_bt25	128	232	0
834	0834_BED-Amazon_n146_m263_bt30	146	263	0
835	0835_BED-Amazon_n145_m254_bt42	145	254	0
836	0836_BED-Amazon_n91_m193_bt21	91	193	0
837	0837_BED-Amazon_n169_m235_bt34	169	235	0
838	0838_BED-Amazon_n162_m256_bt42	162	256	0
839	0839_BED-Amazon_n165_m231_bt27	165	231	0
840	0840_BED-Amazon_n168_m268_bt35	168	268	0
841	0841_BED-Amazon_n100_m214_bt35	100	214	0
842	0842_BED-Amazon_n94_m214_bt28	94	214	0
843	0843_BED-Amazon_n123_m246_bt30	123	246	0
844	0844_BED-Amazon_n171_m244_bt33	171	244	0
845	0845_BED-Amazon_n159_m244_bt37	159	244	0
846	0846_BED-Amazon_n143_m219_bt25	143	219	0
847	0847_BED-Amazon_n197_m288_bt37	197	288	0
848	0848_BED-Amazon_n157_m282_bt40	157	282	0
849	0849_BED-Amazon_n129_m200_bt35	129	200	0
850	0850_BED-Amazon_n159_m244_bt31	159	244	0
851	0851_BED-Amazon_n144_m228_bt35	144	228	0
852	0852_BED-Amazon_n146_m259_bt37	146	259	0
853	0853_BED-Amazon_n169_m245_bt40	169	245	0
854	0854_BED-Amazon_n152_m201_bt28	152	201	0
855	0855_BED-Amazon_n185_m271_bt31	185	271	0
856	0856_BED-Amazon_n152_m204_bt30	152	204	0
857	0857_BED-Amazon_n110_m245_bt32	110	245	0
858	0858_BED-Amazon_n130_m200_bt30	130	200	0
859	0859_BED-Amazon_n171_m290_bt33	171	290	0
860	0860_BED-Amazon_n162_m292_bt29	162	292	0
861	0861_BED-Amazon_n175_m250_bt31	175	250	0
862	0862_BED-Amazon_n119_m202_bt28	119	202	0
863	0863_BED-Amazon_n190_m292_bt33	190	292	0
864	0864_BED-Amazon_n137_m223_bt34	137	223	0
865	0865_BED-Amazon_n173_m234_bt25	173	234	0
866	0866_BED-Amazon_n156_m249_bt30	156	249	0
867	0867_BED-Amazon_n175_m272_bt28	175	272	0
868	0868_BED-Amazon_n134_m234_bt36	134	234	0
869	0869_BED-Amazon_n129_m240_bt35	129	240	0
870	0870_BED-Amazon_n133_m232_bt24	133	232	0
871	0871_BED-Amazon_n133_m213_bt28	133	213	0
872	0872_BED-Amazon_n155_m246_bt27	155	246	0
873	0873_BED-Amazon_n102_m225_bt34	102	225	0
874	0874_BED-Amazon_n148_m228_bt28	148	228	0
875	0875_BED-Amazon_n83_m235_bt32	83	235	0
876	0876_BED-Amazon_n89_m252_bt31	89	252	0
877	0877_BED-Amazon_n123_m290_bt38	123	290	0
878	0878_BED-Amazon_n107_m217_bt33	107	217	0
879	0879_BED-Amazon_n198_m275_bt30	198	275	0
880	0880_BED-Amazon_n129_m241_bt28	129	241	0
881	0881_BED-Amazon_n53_m159_bt29	53	159	0
882	0882_BED-Amazon_n125_m206_bt33	125	206	0
883	0883_BED-Amazon_n181_m291_bt28	181	291	0
884	0884_BED-Amazon_n78_m169_bt26	78	169	0
885	0885_BED-Amazon_n184_m264_bt34	184	264	0
886	0886_BED-Amazon_n74_m225_bt33	74	225	0
887	0887_BED-Amazon_n92_m287_bt33	92	287	0
888	0888_BED-Amazon_n166_m223_bt30	166	223	0
889	0889_BED-Amazon_n120_m217_bt33	120	217	0
890	0890_BED-Amazon_n132_m253_bt22	132	253	0
891	0891_BED-Amazon_n94_m183_bt29	94	183	0
892	0892_BED-Amazon_n182_m275_bt35	182	275	0
893	0893_BED-Amazon_n80_m196_bt31	80	196	0
894	0894_BED-Amazon_n151_m227_bt32	151	227	0
895	0895_BED-Amazon_n106_m209_bt30	106	209	0
896	0896_BED-Amazon_n139_m205_bt25	139	205	0
897	0897_BED-Amazon_n168_m244_bt23	168	244	0
898	0898_BED-Amazon_n163_m276_bt31	163	276	0
899	0899_BED-Amazon_n137_m193_bt26	137	193	0
900	0900_BED-Amazon_n147_m214_bt29	147	214	0
901	0901_BED-Amazon_n172_m266_bt32	172	266	0
902	0902_BED-Amazon_n118_m238_bt37	118	238	0
903	0903_BED-Amazon_n192_m263_bt25	192	263	0
904	0904_BED-Amazon_n90_m217_bt32	90	217	0
905	0905_BED-Amazon_n164_m235_bt38	164	235	0
906	0906_BED-Amazon_n158_m253_bt24	158	253	0
907	0907_BED-Amazon_n118_m212_bt30	118	212	0
908	0908_BED-Amazon_n123_m237_bt44	123	237	0
909	0909_BED-Amazon_n124_m247_bt29	124	247	0
910	0910_BED-Amazon_n115_m236_bt31	115	236	0
911	0911_BED-Amazon_n78_m173_bt29	78	173	0
912	0912_BED-Amazon_n156_m222_bt30	156	222	0
913	0913_BED-Amazon_n99_m194_bt29	99	194	0
914	0914_BED-Amazon_n193_m283_bt37	193	283	0
915	0915_BED-Amazon_n109_m214_bt35	109	214	0
916	0916_BED-Amazon_n147_m184_bt23	147	184	0
917	0917_BED-Amazon_n96_m211_bt30	96	211	0
918	0918_BED-Amazon_n131_m199_bt24	131	199	0
919	0919_BED-Amazon_n145_m271_bt26	145	271	0
920	0920_BED-Amazon_n138_m280_bt37	138	280	0
921	0921_BED-Amazon_n195_m274_bt27	195	274	0
922	0922_BED-Amazon_n135_m253_bt34	135	253	0
923	0923_BED-Amazon_n96_m232_bt29	96	232	0
924	0924_BED-Amazon_n175_m273_bt35	175	273	0
925	0925_BED-Amazon_n121_m176_bt26	121	176	0
926	0926_BED-Amazon_n161_m287_bt33	161	287	0
927	0927_BED-Amazon_n32_m176_bt24	32	176	0
928	0928_BED-Amazon_n160_m230_bt28	160	230	0
929	0929_BED-Amazon_n202_m287_bt29	202	287	0
930	0930_BED-Amazon_n140_m221_bt36	140	221	0
931	0931_BED-Amazon_n156_m259_bt33	156	259	0
932	0932_BED-Amazon_n195_m294_bt36	195	294	0
933	0933_BED-Amazon_n134_m214_bt33	134	214	0
934	0934_BED-Amazon_n129_m223_bt36	129	223	0
935	0935_BED-Amazon_n183_m230_bt33	183	230	0
936	0936_BED-Amazon_n124_m159_bt29	124	159	0
937	0937_BED-Amazon_n178_m273_bt26	178	273	0
938	0938_BED-Amazon_n152_m195_bt38	152	195	0
939	0939_BED-Amazon_n123_m199_bt30	123	199	0
940	0940_BED-Amazon_n121_m271_bt32	121	271	0
941	0941_BED-Amazon_n102_m239_bt27	102	239	0
942	0942_BED-Amazon_n177_m272_bt33	177	272	0
943	0943_BED-Amazon_n173_m243_bt37	173	243	0
944	0944_BED-Amazon_n154_m261_bt35	154	261	0
945	0945_BED-Amazon_n115_m243_bt39	115	243	0
946	0946_BED-Amazon_n110_m180_bt28	110	180	0
947	0947_BED-Amazon_n151_m200_bt36	151	200	0
948	0948_BED-Amazon_n193_m273_bt31	193	273	0
949	0949_BED-Amazon_n202_m297_bt28	202	297	0
950	0950_BED-Amazon_n163_m245_bt25	163	245	0
951	0951_BED-Amazon_n94_m236_bt28	94	236	0
952	0952_BED-Amazon_n178_m292_bt37	178	292	0
953	0953_BED-Amazon_n107_m238_bt28	107	238	0
954	0954_BED-Amazon_n142_m224_bt24	142	224	0
955	0955_BED-Amazon_n79_m247_bt30	79	247	0
956	0956_BED-Amazon_n127_m229_bt34	127	229	0
957	0957_BED-Amazon_n146_m238_bt31	146	238	0
958	0958_BED-Amazon_n102_m200_bt34	102	200	0
959	0959_BED-Amazon_n121_m174_bt24	121	174	0
960	0960_BED-Amazon_n158_m237_bt34	158	237	0
961	0961_BED-Amazon_n151_m255_bt34	151	255	0
